TERYT,Województwo,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
02,dolnośląskie,,,,,,,,,,,,,,,
04,kujawsko-pomorskie,,,,,,,,,,,,,,,
06,lubelskie,,,,,,,,,,,,,,,
08,lubuskie,1,,,,,,,,,,,,,,
10,łódzkie,,,,,,,,,,,,,,,
12,małopolskie,,,,,,,,,,,,,,,
14,mazowieckie,,,,,,,,,,,,,,,
16,opolskie,,,,,,,,,,,,,,,
18,podkarpackie,,,,,,,,,,,,,,,
20,podlaskie,,,,,,,,,,,,,,,
22,pomorskie,,,,,,,,,,,,,,,
24,śląskie,,,,,,,,,,,,,,,
26,świętokrzyskie,,,,,,,,,,,,,,,
28,warmińsko-mazurskie,,,,,,,,,,,,,,,
30,wielkopolskie,,,,,,,,,,,,,,,
32,zachodniopomorskie,,,,,,,,,,,,,,,
PL,Polska,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0